ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
1769204093445.0,presential,3.961,150.0
1769204103647.0,presential,6.2,150.0
1769204114236.0,presential,2.034,150.0
1769204133719.0,presential,2.081,150.0
1769204166356.0,presential,2.111,150.0
1769204181405.0,presential,2.279,150.0
1769204181405,presential,2.279,150.0
1769204197478.0,presential,3.121,150.0
1769204552143.0,presential,2.096,150.0
1769204578107.0,presential,3.713,150.0
1769204585660.0,presential,1.841,150.0
1769204611798.0,presential,4.301,150.0
1769204622448.0,presential,3.183,150.0
1769204630085.0,presential,2.967,150.0
1769204637821.0,presential,3.711,150.0
1769204648867.0,presential,1.92,150.0
1769205234391.0,presential,4.493,150.0
1769205244745.0,presential,2.914,150.0
1769205260002.0,presential,2.054,150.0
1769205274569.0,presential,2.019,150.0
1769205509756.0,presential,3.934,150.0
1769205669562.0,presential,3.159,150.0
1769205678339.0,presential,1.949,150.0
1769205697463.0,presential,2.137,150.0
1769205710544.0,presential,2.047,150.0
1769205722039.0,presential,2.039,150.0
1769205839852.0,presential,2.158,150.0
1769205862261.0,presential,9.346,150.0
1769205870758.0,presential,2.203,150.0
1769206014050.0,presential,2.043,150.0
sim_presential_0_1769464103095,presential,2.0233,150.0
sim_presential_11_1769464103095,presential,2.6737,150.0
sim_presential_12_1769461081030,presential,2.5793,150.0
sim_presential_13_1769461081030,presential,1.9027,150.0
sim_presential_14_1769464103095,presential,2.1833,150.0
sim_presential_15_1769464103095,presential,2.1132,150.0
sim_presential_16_1769461081030,presential,1.7589,150.0
sim_presential_17_1769461081030,presential,1.6343,150.0
sim_presential_18_1769461081030,presential,1.7036,150.0
sim_presential_18_1769464103095,presential,2.3143,150.0
sim_presential_19_1769461081030,presential,2.586,150.0
sim_presential_25_1769461081030,presential,2.1359,150.0
sim_presential_25_1769464103096,presential,1.8207,150.0
sim_presential_28_1769464103096,presential,1.8035,150.0
sim_presential_29_1769461081030,presential,1.8303,150.0
sim_presential_29_1769464103096,presential,1.7888,150.0
sim_presential_30_1769461081030,presential,1.8581,150.0
sim_presential_30_1769464103096,presential,2.1275,150.0
sim_presential_32_1769461081030,presential,1.7858,150.0
sim_presential_34_1769461081030,presential,1.647,150.0
sim_presential_36_1769464103096,presential,1.7136,150.0
sim_presential_37_1769464103096,presential,2.7434,150.0
sim_presential_39_1769461081030,presential,1.953,150.0
sim_presential_39_1769464103096,presential,1.7078,150.0
sim_presential_3_1769461081030,presential,1.7688,150.0
sim_presential_3_1769464103095,presential,1.6745,150.0
sim_presential_40_1769461081030,presential,2.3059,150.0
