ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
1769204114236.0,presential,1.558,100.0
1769204133719.0,presential,1.647,100.0
1769204166356.0,presential,1.647,100.0
1769204181405.0,presential,1.861,100.0
1769204181405,presential,1.861,100.0
1769204197478.0,presential,1.879,100.0
1769204552143.0,presential,1.644,100.0
1769204585660.0,presential,1.495,100.0
1769204648867.0,presential,1.506,100.0
1769205244745.0,presential,1.902,100.0
1769205260002.0,presential,1.582,100.0
1769205274569.0,presential,1.573,100.0
1769205669562.0,presential,2.275,100.0
1769205678339.0,presential,1.535,100.0
1769205697463.0,presential,1.657,100.0
1769205710544.0,presential,1.603,100.0
1769205722039.0,presential,1.611,100.0
1769205839852.0,presential,1.648,100.0
1769205870758.0,presential,1.629,100.0
1769206014050.0,presential,1.589,100.0
sim_presential_0_1769464103095,presential,1.6377,100.0
sim_presential_11_1769464103095,presential,2.2366,100.0
sim_presential_12_1769461081030,presential,2.089,100.0
sim_presential_13_1769461081030,presential,1.5416,100.0
sim_presential_14_1769464103095,presential,1.7917,100.0
sim_presential_15_1769464103095,presential,1.6915,100.0
sim_presential_16_1769461081030,presential,1.4088,100.0
sim_presential_17_1769461081030,presential,1.314,100.0
sim_presential_18_1769461081030,presential,1.377,100.0
sim_presential_18_1769464103095,presential,1.8309,100.0
sim_presential_19_1769461081030,presential,2.1179,100.0
sim_presential_25_1769461081030,presential,1.7188,100.0
sim_presential_25_1769464103096,presential,1.5115,100.0
sim_presential_28_1769464103096,presential,1.4908,100.0
sim_presential_29_1769461081030,presential,1.4763,100.0
sim_presential_29_1769464103096,presential,1.5029,100.0
sim_presential_30_1769461081030,presential,1.5562,100.0
sim_presential_30_1769464103096,presential,1.7333,100.0
sim_presential_32_1769461081030,presential,1.4657,100.0
sim_presential_34_1769461081030,presential,1.3561,100.0
sim_presential_36_1769464103096,presential,1.3485,100.0
sim_presential_37_1769464103096,presential,2.2111,100.0
sim_presential_39_1769461081030,presential,1.5948,100.0
sim_presential_39_1769464103096,presential,1.3775,100.0
sim_presential_3_1769461081030,presential,1.4133,100.0
sim_presential_3_1769464103095,presential,1.3215,100.0
sim_presential_40_1769461081030,presential,1.9032,100.0
sim_presential_41_1769461081030,presential,2.0192,100.0
sim_presential_42_1769464103096,presential,1.5175,100.0
sim_presential_43_1769461081030,presential,1.5143,100.0
sim_presential_44_1769461081030,presential,1.4172,100.0
sim_presential_44_1769464103096,presential,1.2931,100.0
sim_presential_45_1769464103096,presential,2.1155,100.0
sim_presential_47_1769461081030,presential,1.3457,100.0
sim_presential_49_1769464103096,presential,1.3846,100.0
sim_presential_4_1769461081030,presential,2.1038,100.0
sim_presential_4_1769464103095,presential,1.6521,100.0
sim_presential_5_1769461081030,presential,1.3739,100.0
sim_presential_5_1769464103095,presential,1.4497,100.0
sim_presential_7_1769461081030,presential,1.5833,100.0
1769203121962.0,remote,1.567,100.0
1769203890691.0,remote,1.599,100.0
1769203926021.0,remote,1.801,100.0
1769203946802.0,remote,1.865,100.0
1769203963698.0,remote,1.865,100.0
1769203972502.0,remote,1.663,100.0
1769204008354.0,remote,1.794,100.0
1769204028454.0,remote,1.794,100.0
1769204039781.0,remote,1.794,100.0
1769204046540.0,remote,1.794,100.0
1769204055660.0,remote,1.794,100.0
1769204072019.0,remote,1.794,100.0
1769204465060.0,remote,1.609,100.0
1769204482362.0,remote,1.765,100.0
1769204498850.0,remote,1.765,100.0
1769204514298.0,remote,1.765,100.0
1769204523015.0,remote,1.765,100.0
1769204689566.0,remote,1.493,100.0
1769204702934.0,remote,1.493,100.0
1769204746558.0,remote,1.554,100.0
1769204759908.0,remote,1.651,100.0
sim_remote_0_1769461081030,remote,1.7009,100.0
sim_remote_11_1769464103096,remote,1.3455,100.0
sim_remote_12_1769461081030,remote,2.0492,100.0
sim_remote_12_1769464103096,remote,1.296,100.0
sim_remote_14_1769461081030,remote,1.3529,100.0
sim_remote_14_1769464103096,remote,1.5275,100.0
sim_remote_15_1769461081030,remote,1.5908,100.0
sim_remote_17_1769461081030,remote,1.8856,100.0
sim_remote_17_1769464103096,remote,1.5846,100.0
sim_remote_18_1769461081030,remote,2.1412,100.0
sim_remote_19_1769464103096,remote,1.3503,100.0
sim_remote_1_1769461081030,remote,1.4828,100.0
sim_remote_1_1769464103096,remote,1.3368,100.0
sim_remote_20_1769461081030,remote,1.5498,100.0
sim_remote_21_1769461081030,remote,1.4888,100.0
sim_remote_21_1769464103096,remote,2.0975,100.0
sim_remote_22_1769461081030,remote,2.1516,100.0
